seguridad.fecha_hecho;seguridad.cantidad;seguridad.latitud;seguridad.longitud;seguridad.sexo;seguridad.edad;seguridad.estado_civil;seguridad.grupo_actor;seguridad.actividad_delictiva;seguridad.parentesco;seguridad.ocupacion;seguridad.discapacidad;seguridad.grupo_especial;seguridad.medio_transporte;seguridad.nivel_academico;seguridad.testigo;seguridad.conducta;seguridad.modalidad;seguridad.caracterizacion;seguridad.conducta_especial;seguridad.arma_medio;seguridad.articulo_penal;seguridad.categoria_penal;seguridad.nombre_barrio;seguridad.codigo_barrio;seguridad.codigo_comuna;seguridad.lugar;seguridad.sede_receptora;seguridad.bien;seguridad.categoria_bien;seguridad.grupo_bien;seguridad.modelo;seguridad.color;seguridad.permiso;seguridad.unidad_medida
2017-01-01 16:00:00;1.0;6.27623616;-75.55353312;Hombre;37;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;De celular;Arma de fuego;Sin dato;Sin dato;Campo Valdés No.1;#0410;4;Vía pública;Aranjuez;Celular;Tecnología;Mercancía;-1;Negro;Sin dato;Sin dato
2017-01-01 16:00:00;1.0;6.21907115;-75.60299601;Mujer;29;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;Sin dato;No;No;Sin dato;Sin dato;La Loma de los Bernal;#1611;16;Vía pública;Belén;Elementos escolares;Elementos escolares;Mercancía;-1;Sin dato;Sin dato;Sin dato
2017-01-01 16:00:00;1.0;6.21907115;-75.60299601;Mujer;29;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;Sin dato;No;No;Sin dato;Sin dato;La Loma de los Bernal;#1611;16;Vía pública;Belén;Computador;Tecnología;Mercancía;-1;Sin dato;Sin dato;Sin dato
2017-01-02 10:30:00;1.0;6.24275379;-75.54836478;Hombre;36;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;A taxista;Arma de fuego;Sin dato;Sin dato;El Pinal;#0810;8;Vía pública;Villa Hermosa;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
2017-01-02 10:30:00;1.0;6.24275379;-75.54836478;Hombre;36;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;A taxista;Arma de fuego;Sin dato;Sin dato;El Pinal;#0810;8;Vía pública;Villa Hermosa;Celular;Tecnología;Mercancía;-1;Blanco;Sin dato;Sin dato
2017-01-02 08:30:00;1.0;6.22272947;-75.58425274;Hombre;22;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;A taxista;Arma de fuego;Sin dato;Sin dato;Santa Fé;#1504;15;Vía pública;Belén;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;-1;Sin dato;Sin dato;Sin dato
2017-01-03 07:00:00;1.0;6.29045179;-75.56460824;Hombre;35;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;Sin dato;No;Sin dato;Sin dato;Tricentenario;#0510;5;Estación del Metro;Castilla;Billetera;Prendas de vestir y accesorios;Mercancía;-1;Sin dato;Sin dato;Sin dato
2017-01-03 07:00:00;1.0;6.29045179;-75.56460824;Hombre;35;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;Sin dato;No;Sin dato;Sin dato;Tricentenario;#0510;5;Estación del Metro;Castilla;Cédula;Documentos;Mercancía;-1;Sin dato;Sin dato;Sin dato
2017-01-04 15:00:00;1.0;6.27210659;-75.56045631;Hombre;26;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;Sin dato;Arma de fuego;Sin dato;Sin dato;Brasilia;#0414;4;Vía pública;Aranjuez;Celular;Tecnología;Mercancía;-1;Sin dato;Sin dato;Sin dato
2017-01-04 17:00:00;1.0;6.20326723;-75.5593313;Hombre;52;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;No;Arma de fuego;Sin dato;Sin dato;El Tesoro;#1409;14;Vía pública;Poblado;Accesorios prendas de vestir;Prendas de vestir y accesorios;Mercancía;-1;Verde;Sin dato;Sin dato
